"","fav_lan","t_intv_min","tot_euros","tot_kgs","LE_EURO_SOL","LE_EURO_CSH","LE_EURO_PLE","LE_KG_SOL","LE_KG_CSH","LE_KG_PLE","VE_REF","t_intv_day","t_intv_h","ISO3_Country_Code","full_name","Coordinates","Latitude","Longitude","EU_Fish_Port","Port"
"50","DESAS",462592,249164,182494.858,2532,68365,17366,280.986,20412.269,16335.475,8,321.244444444444,7709.86666666667,"DEU","Sassnitz","5451N 01364E",54.51166667,13.64333333,"Y","Y"
"51","DESCY",114937,40683,15020.676,0,40683,0,0,15020.676,0,1,79.8173611111111,1915.61666666667,"DEU","Schluettsiel","5468N 00875E",54.68166667,8.753333333,"Y","Y"
"52","DESH2",6360,8341,6875,0,0,1695,0,0,1415,2,4.41666666666667,106,"DEU","Schaprode","5450N 01317E",54.5,13.16666667,"Y","Y"
"53","DESIX",85920,0,161,0,0,0,0,0,20,1,59.6666666666667,1432,"DEU","Sierksdorf","5406N 01076E",54.06166667,10.765,"Y","Y"
"54","DESS1",87360,0,564,0,0,0,0,0,193,1,60.6666666666667,1456,"DEU","Schoenberger Strand","5442N 01042E",54.415,10.415,"Y","Y"
"55","DESTD",579070,1704,2735,0,0,343,0,0,448,9,402.131944444444,9651.16666666667,"DEU","Strande","5444N 01017E",54.43666667,10.17166667,"Y","Y"
"56","DETAZ",42240,0,130,0,0,0,0,0,5,1,29.3333333333333,704,"DEU","Tarnewitz","5397N 01122E",53.96666667,11.21666667,"Y","Y"
"57","DETMD",45780,2380,1390,0,0,118,0,0,42,3,31.7916666666667,763,"DEU","Timmendorf","5399N 01138E",53.98833333,11.375,"Y","Y"
"58","DETOE",101760,105527,38424.313,0,105527,0,0,38424.313,0,1,70.6666666666667,1696,"DEU","Toenning","5432N 00895E",54.31666667,8.95,"Y","Y"
"59","DETRV",465616,182274,229546.556,0,0,11330,0,0,15366,15,323.344444444444,7760.26666666667,"DEU","Travemuende","5496N 01086E",53.954,10.858,"Y","Y"
"60","DETS2",540,268,60,0,0,6,0,0,5,1,0.375,9,"DEU","Thiessow","5427N 01372E",54.26666667,13.71666667,"Y","Y"
"61","DEUEC",168960,0,436,0,0,0,0,0,33,1,117.333333333333,2816,"DEU","Ueckeritz","5402N 01407E",54.01666667,14.07333333,"Y","Y"
"62","DEVAR",124615,291729,89226.779,0,291729,0,0,89226.779,0,1,86.5381944444444,2076.91666666667,"DEU","Varel","5341N 00818E",53.41,8.183333333,"Y","Y"
