"","VE_HOME","t_intv_min","tot_euros","tot_kgs","LE_EURO_SOL","LE_EURO_CSH","LE_EURO_PLE","LE_KG_SOL","LE_KG_CSH","LE_KG_PLE","VE_REF","t_intv_day","t_intv_h","ISO3_Country_Code","full_name","Coordinates","Latitude","Longitude","EU_Fish_Port","Port"
"72","DEUCK",53410,13593,20897.717,0,0,514,0,0,902.75,1,37.0902777777778,890.166666666667,"DEU","Ueckermuende","5375N 01407E",53.75333333,14.07333333,"Y","Y"
"73","DEVAR",124615,291729,89226.779,0,291729,0,0,89226.779,0,1,86.5381944444444,2076.91666666667,"DEU","Varel","5341N 00818E",53.41,8.183333333,"Y","Y"
"74","DEVT2",4140,4107,3260,0,0,1687,0,0,1390,2,2.875,69,"DEU","Vitte","5450N 01317E",54.5,13.16666667,"Y","Y"
"75","DEWAR",604132,144987,54962.455,10,107110,6994,1,36052.627,3740.458,8,419.536111111111,10068.8666666667,"DEU","Warnemuende","5355N 00984E",54.168,12.093,"Y","Y"
"76","DEWE1",352320,0,4333,0,0,0,0,0,747,2,244.666666666667,5872,"DEU","Wendtorf","5442N 01029E",54.425,10.29166667,"Y","Y"
"77","DEWIS",85920,0,714,0,0,0,0,20,12,2,59.6666666666667,1432,"DEU","Wismar","5390N 01145E",53.89666667,11.45333333,"Y","Y"
"78","DEWRY",1001862,1066683,341007.937,0,1066683,0,0,341007.937,0,7,695.7375,16697.7,"DEU","Wremen","5365N 00850E",53.65,8.5,"Y","Y"
"79","DEWU1",41695,26230,19328,22,0,2471,6,0,2613,3,28.9548611111111,694.916666666667,"DEU","Wulfen","5441N 01117E",54.41,11.17166667,"Y","Y"
"80","DEWYK",484511,239612,79859.206,15,239565,0,3,79846.849,0,3,336.465972222222,8075.18333333333,"DEU","Wyk auf Foehr","5469N 00858E",54.69333333,8.575,"Y","Y"
"81","DEDHM",215520,0,1090,0,0,0,0,0,120,1,149.666666666667,3592,"DEU","Dahme","5422N 01109E",54.21833333,11.09,"Y","Y"
"82","DEGZZ",42240,0,74,0,0,0,0,0,3,1,29.3333333333333,704,"DEU","Groemitz","5413N 01095E",54.13333333,10.95,"Y","Y"
"83","DEHFK",211200,0,259,0,0,0,0,0,157,1,146.666666666667,3520,"DEU","Haffkrug","5404N 01081E",54.04166667,10.81166667,"Y","Y"
"84","DEHWC",42240,0,140,0,0,0,0,0,1,1,29.3333333333333,704,"DEU","Hohwacht","5432N 01068E",54.31666667,10.685,"Y","Y"
"85","DEKGA",39360,0,894,0,0,0,0,0,87,2,27.3333333333333,656,"DEU","Kronsgaard","5473N 00998E",54.72833333,9.985,"Y","Y"
"86","DEORT",43680,0,31,0,0,0,0,0,28,1,30.3333333333333,728,"DEU","Orth/Fehmarn","5445N 01105E",54.44666667,11.05166667,"Y","Y"
"87","DERDX",41280,0,1317,0,0,0,0,0,212,3,28.6666666666667,688,"DEU","Radeland","5439N 01048E",54.38833333,10.485,"Y","Y"
"88","DESC1",42240,0,70,0,0,0,0,0,63,1,29.3333333333333,704,"DEU","Schubystrand","5460N 01003E",54.6,10.02666667,"Y","Y"
"89","DESIX",85920,0,161,0,0,0,0,0,20,1,59.6666666666667,1432,"DEU","Sierksdorf","5406N 01076E",54.06166667,10.765,"Y","Y"
"90","DEDAN",56160,62299,19625.734,0,62299,0,0,19625.734,0,1,39,936,"DEU","Dangast","5344N 00811E",53.43833333,8.108333333,"Y","Y"
"91","DEBR1",3585,1082,1391.389,0,0,76,0,0,115,1,2.48958333333333,59.75,"DEU","Barhoeft","5443N 01303E",54.43333333,13.03333333,"Y","Y"
"92","DEKEE",43680,0,90,0,0,0,0,0,5,1,30.3333333333333,728,"DEU","Kellenhusen","5419N 01108E",54.19166667,11.08,"Y","Y"
