OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
61;United Kingdom;Sound of Islay;10;10;Planned;;210,9583518;0,351769784; ;0,035726084;5,043E-05
62;United Kingdom;Torr Head;50;100;Approved;;213,44044;6,797487229; ;0,133269781;0,000959055
63;United Kingdom;Aberdeen Bay Demo;11;93,2;Production;2018;1428,303885;20,01894842; ;0,249388591;0,002976012
64;United Kingdom;Barrow Wind Farm;30;90;Production;2006;7261,238334;9,990280647; ;0,163414559;0,001368458
65;United Kingdom;Brough Ness;66;99;Planned;;262,1046839;2,990591685; ;0,139682917;0,000463452
66;United Kingdom;Burbo Bank Extension Wind Farm;32;256;Production;2016;6874,858678;39,65818787; ;0,425338467;0,00536771
67;United Kingdom;Burbo Bank Wind Farm;25;90;Production;2007;6074,822422;9,946575342; ;0,171776339;0,001346419
68;United Kingdom;Beatrice;84;588;Production;2019;13448,91667;131,4987647; ;0,654789063;0,020108177
69;United Kingdom;Bluemull Sound;1;0,3;Production;;175,0518637;0,077876093; ;0,015168753;1,27968E-05
70;United Kingdom;Blyth Demo (Phase 1) Wind Farm;5;41,5;Production;2018;4725,903199;6,977582397; ;0,248072906;0,000982571
71;United Kingdom;Blyth Demo (Phase 2 & 3) Wind Farm;10;58,4;Approved;;5415,667961;15,16562571; ;0,313631443;0,002138584
72;United Kingdom;Blyth Wind Farm;2;4;Dismantled;2000;489,9043387;0,402405082;2013;0,030845414;5,66761E-05
73;United Kingdom;Brims Tidal Array;200;200;Planned;;410,9712953;11,03321931; ;0,317196709;0,001711473
74;United Kingdom;Brough Head;50;50;Planned;;0;24,10961871; ;0,934577208;0,003776121
75;United Kingdom;EMEC Bilia Croo;;;Production;;0;7,587330091; ;0,196012518;0,001184305
76;United Kingdom;EMEC Fall of Wareness;;;Approved;;0;9,265363962; ;0,213113994;0,001453264
77;United Kingdom;EMEC Scapa Flow;;;Production;;293,2471137;1,391869031; ;0,059341573;0,000216728
78;United Kingdom;EMEC Shapinsay Sound;;;Approved;;458,4938438;1,409334802; ;0,07041429;0,000220133
79;United Kingdom;EMEC Stronsay Firth;;;Planned;;67,06070359;23,70200758; ;0,265970601;0,003709285
80;United Kingdom;FabTest, Falmouth Bay;;3;Production;;2263,21624;2,849595155; ;0,080485105;0,000358134
81;United Kingdom;Firth of Forth Met Mast;1;;Production;;29720,43471;0,010007041; ;0,0050552;1,46355E-06
82;United Kingdom;Methil Demo;1;7;Production;2013;71,27517398;0,025748827; ;0,008598256;3,7231E-06
83;United Kingdom;Gwynt y Mor Wind Farm;160;576;Production;2014;12389,2693;68,02693887; ;0,587518354;0,009202059
84;United Kingdom;Holyhead Deep;20;10;Approved;;4897,759537;9,176401326; ;0,147027635;0,001237045
85;United Kingdom;Inch Cape Met Mast;1;;Production;;22570,41119;0,692643051; ;0,042905565;0,000100847
86;United Kingdom;Perpetuus Tidal Energy Centre (PTEC);1;30;Approved;;2300,769949;5,01830523; ;0,175681043;0,000636504
87;United Kingdom;Portland Bill;;30;Planned;;1614,487128;3,096361473; ;0,10723533;0,000392257
88;United Kingdom;Inch Cape Wind Farm;110;784;Approved;;15232,90267;149,3632082; ;0,739130008;0,021778057
89;United Kingdom;Inner Sound;4;398;Production;;396,0986129;3,275259094; ;0,180031677;0,000506613
90;United Kingdom;Lashy Sound;15;10;Planned;;221,2733314;4,194232871; ;0,133248794;0,000659234
91;United Kingdom;MacColl;62;372;Approved;;28453,79598;124,765936; ;0,830966456;0,019017911
92;United Kingdom;Methil (2-B Energy);2;14;Planned;;1190,038044;0,37746923; ;0,052661377;5,45624E-05
93;United Kingdom;Moray Firth Met Mast;1;;Production;;26595,3636;0,031396387; ;0,008356256;4,7913E-06
94;United Kingdom;Mull of Galloway;;;Planned;;604,7298762;3,625867247; ;0,102842275;0,000504305
95;United Kingdom;Mull of Kintyre;7;3,5;Planned;;131,0837155;25,7331944; ;0,275796081;0,003640231
96;United Kingdom;Neart na Gaoithe Wind Farm;54;432;Construction;;15363,83113;105,1719957; ;0,492004465;0,015244234
97;United Kingdom;Ness of Duncansby;;100;Planned;;680,4353493;2,424424571; ;0,099874014;0,000375031
98;United Kingdom;NOAH Met Mast;1;;Production;;4983,967117;0,195833167; ;0,01971893;2,75889E-05
99;United Kingdom;North Devon Demo Zone;;;Dismantled;;170,7414017;34,13488281; ;0,442441782;0,00439474
100;United Kingdom;North Hoyle Wind Farm;30;60;Production;2003;7241,341567;9,64293095; ;0,163782504;0,001303149
101;United Kingdom;Ormonde Wind Farm;30;150;Production;2012;9148,982517;9,931749919; ;0,164164509;0,001363583
102;United Kingdom;Rampion Wind Farm;116;400;Production;2018;13311,17403;77,85681817; ;0,453074758;0,009899933
103;United Kingdom;Ramsey Sound;1;0,4;Production;;193,1997554;0,597384178; ;0,048207408;7,79645E-05
104;United Kingdom;Rhyl Flats Wind Farm;25;90;Production;2009;7767,833345;9,736547055; ;0,194365751;0,001314623
105;United Kingdom;Robin Rigg East;30;90;Production;2010;8665,236465;9,860290032; ;0,174460153;0,001376067
106;United Kingdom;Robin Rigg West;30;90;Production;2010;8663,755762;8,477663347; ;0,158296054;0,00118262
107;United Kingdom;Sanda Sound;;0,035;Approved;;653,0547452;0,020180652; ;0,011264456;2,85414E-06
108;United Kingdom;Scarweather Sands Met Mast;1;;Dismantled;;8166,582792;0,031385363; ;0,007443049;4,06052E-06
109;United Kingdom;SeaGreen Alpha;75;525;Approved;;26830,85107;197,626142; ;0,944442524;0,028902935
110;United Kingdom;SeaGreen Bravo;75;525;Approved;;38163,69209;193,6338142; ;1,016814192;0,028290402
111;United Kingdom;Shell Flats No. 1 (Western) Met Mast;1;;Production;;15769,86446;0,031392585; ;0,007722959;4,28674E-06
