; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1959-08-14,Journée de Oued Ed-Dahab
1959-08-20,Commémoration de la révolution du Roi et du peuple
1959-09-15,Aid al Mawlid Annabawi* (*estimated)
1959-09-16,Aid al Mawlid Annabawi* (*estimated)
1959-11-18,Fête de l'indépendance; Fête du Trône
1960-01-01,Nouvel an - Premier janvier
1960-01-11,Commémoration de la présentation du manifeste de l'indépendance
1960-03-28,Eid al-Fitr* (*estimated)
1960-03-29,Eid al-Fitr* (*estimated)
1960-05-01,Fête du Travail
1960-06-04,Eid al-Adha* (*estimated)
1960-06-05,Eid al-Adha* (*estimated)
1960-06-25,1er Moharram* (*estimated)
1960-07-09,Fête du Trône
1960-08-14,Journée de Oued Ed-Dahab
1960-08-20,Commémoration de la révolution du Roi et du peuple
1960-09-03,Aid al Mawlid Annabawi* (*estimated)
1960-09-04,Aid al Mawlid Annabawi* (*estimated)
1960-11-18,Fête de l'indépendance; Fête du Trône
1961-01-01,Nouvel an - Premier janvier
1961-01-11,Commémoration de la présentation du manifeste de l'indépendance
1961-03-18,Eid al-Fitr* (*estimated)
1961-03-19,Eid al-Fitr* (*estimated)
1961-05-01,Fête du Travail
1961-05-25,Eid al-Adha* (*estimated)
1961-05-26,Eid al-Adha* (*estimated)
1961-06-14,1er Moharram* (*estimated)
1961-07-09,Fête du Trône
1961-08-14,Journée de Oued Ed-Dahab
1961-08-20,Commémoration de la révolution du Roi et du peuple
1961-08-23,Aid al Mawlid Annabawi* (*estimated)
1961-08-24,Aid al Mawlid Annabawi* (*estimated)
1961-11-18,Fête de l'indépendance; Fête du Trône
1962-01-01,Nouvel an - Premier janvier
1962-01-11,Commémoration de la présentation du manifeste de l'indépendance
1962-03-07,Eid al-Fitr* (*estimated)
1962-03-08,Eid al-Fitr* (*estimated)
1962-05-01,Fête du Travail
1962-05-14,Eid al-Adha* (*estimated)
1962-05-15,Eid al-Adha* (*estimated)
1962-06-03,1er Moharram* (*estimated)
1962-07-09,Fête du Trône
1962-08-12,Aid al Mawlid Annabawi* (*estimated)
1962-08-13,Aid al Mawlid Annabawi* (*estimated)
1962-08-14,Journée de Oued Ed-Dahab
1962-08-20,Commémoration de la révolution du Roi et du peuple
1962-11-18,Fête de l'indépendance; Fête du Trône
1963-01-01,Nouvel an - Premier janvier
1963-01-11,Commémoration de la présentation du manifeste de l'indépendance
1963-02-24,Eid al-Fitr* (*estimated)
1963-02-25,Eid al-Fitr* (*estimated)
1963-03-03,Fête du Trône
1963-05-01,Fête du Travail
1963-05-03,Eid al-Adha* (*estimated)
1963-05-04,Eid al-Adha* (*estimated)
