; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1989-01-11,Commémoration de la présentation du manifeste de l'indépendance
1989-03-03,Fête du Trône
1989-05-01,Fête du Travail
1989-05-06,Eid al-Fitr* (*estimated)
1989-05-07,Eid al-Fitr* (*estimated)
1989-07-09,Fête du Trône
1989-07-13,Eid al-Adha* (*estimated)
1989-07-14,Eid al-Adha* (*estimated)
1989-08-02,1er Moharram* (*estimated)
1989-08-14,Journée de Oued Ed-Dahab
1989-08-20,Commémoration de la révolution du Roi et du peuple
1989-10-11,Aid al Mawlid Annabawi* (*estimated)
1989-10-12,Aid al Mawlid Annabawi* (*estimated)
1989-11-06,Marche verte
1989-11-18,Fête de l'indépendance
1990-01-01,Nouvel an - Premier janvier
1990-01-11,Commémoration de la présentation du manifeste de l'indépendance
1990-03-03,Fête du Trône
1990-04-26,Eid al-Fitr* (*estimated)
1990-04-27,Eid al-Fitr* (*estimated)
1990-05-01,Fête du Travail
1990-07-02,Eid al-Adha* (*estimated)
1990-07-03,Eid al-Adha* (*estimated)
1990-07-09,Fête du Trône
1990-07-23,1er Moharram* (*estimated)
1990-08-14,Journée de Oued Ed-Dahab
1990-08-20,Commémoration de la révolution du Roi et du peuple
1990-10-01,Aid al Mawlid Annabawi* (*estimated)
1990-10-02,Aid al Mawlid Annabawi* (*estimated)
1990-11-06,Marche verte
1990-11-18,Fête de l'indépendance
1991-01-01,Nouvel an - Premier janvier
1991-01-11,Commémoration de la présentation du manifeste de l'indépendance
1991-03-03,Fête du Trône
1991-04-15,Eid al-Fitr* (*estimated)
1991-04-16,Eid al-Fitr* (*estimated)
1991-05-01,Fête du Travail
1991-06-22,Eid al-Adha* (*estimated)
1991-06-23,Eid al-Adha* (*estimated)
1991-07-09,Fête du Trône
1991-07-12,1er Moharram* (*estimated)
1991-08-14,Journée de Oued Ed-Dahab
1991-08-20,Commémoration de la révolution du Roi et du peuple
1991-09-20,Aid al Mawlid Annabawi* (*estimated)
1991-09-21,Aid al Mawlid Annabawi* (*estimated)
1991-11-06,Marche verte
1991-11-18,Fête de l'indépendance
1992-01-01,Nouvel an - Premier janvier
1992-01-11,Commémoration de la présentation du manifeste de l'indépendance
1992-03-03,Fête du Trône
1992-04-04,Eid al-Fitr* (*estimated)
1992-04-05,Eid al-Fitr* (*estimated)
1992-05-01,Fête du Travail
1992-06-11,Eid al-Adha* (*estimated)
1992-06-12,Eid al-Adha* (*estimated)
1992-07-01,1er Moharram* (*estimated)
1992-07-09,Fête du Trône
1992-08-14,Journée de Oued Ed-Dahab
1992-08-20,Commémoration de la révolution du Roi et du peuple
1992-09-09,Aid al Mawlid Annabawi* (*estimated)
1992-09-10,Aid al Mawlid Annabawi* (*estimated)
1992-11-06,Marche verte
1992-11-18,Fête de l'indépendance
1993-01-01,Nouvel an - Premier janvier
1993-01-11,Commémoration de la présentation du manifeste de l'indépendance
1993-03-03,Fête du Trône
1993-03-24,Eid al-Fitr* (*estimated)
1993-03-25,Eid al-Fitr* (*estimated)
1993-05-01,Fête du Travail
1993-05-31,Eid al-Adha* (*estimated)
1993-06-01,Eid al-Adha* (*estimated)
1993-06-21,1er Moharram* (*estimated)
1993-07-09,Fête du Trône
1993-08-14,Journée de Oued Ed-Dahab
1993-08-20,Commémoration de la révolution du Roi et du peuple
1993-08-29,Aid al Mawlid Annabawi* (*estimated)
1993-08-30,Aid al Mawlid Annabawi* (*estimated)
1993-11-06,Marche verte
1993-11-18,Fête de l'indépendance
1994-01-01,Nouvel an - Premier janvier
1994-01-11,Commémoration de la présentation du manifeste de l'indépendance
1994-03-03,Fête du Trône
1994-03-13,Eid al-Fitr* (*estimated)
1994-03-14,Eid al-Fitr* (*estimated)
1994-05-01,Fête du Travail
1994-05-20,Eid al-Adha* (*estimated)
1994-05-21,Eid al-Adha* (*estimated)
1994-06-10,1er Moharram* (*estimated)
1994-07-09,Fête du Trône
1994-08-14,Journée de Oued Ed-Dahab
1994-08-19,Aid al Mawlid Annabawi* (*estimated)
1994-08-20,Aid al Mawlid Annabawi* (*estimated); Commémoration de la révolution du Roi et du peuple
1994-11-06,Marche verte
1994-11-18,Fête de l'indépendance
1995-01-01,Nouvel an - Premier janvier
1995-01-11,Commémoration de la présentation du manifeste de l'indépendance
1995-03-02,Eid al-Fitr* (*estimated)
1995-03-03,Eid al-Fitr* (*estimated); Fête du Trône
1995-05-01,Fête du Travail
1995-05-09,Eid al-Adha* (*estimated)
1995-05-10,Eid al-Adha* (*estimated)
1995-05-30,1er Moharram* (*estimated)
1995-07-09,Fête du Trône
1995-08-08,Aid al Mawlid Annabawi* (*estimated)
1995-08-09,Aid al Mawlid Annabawi* (*estimated)
1995-08-14,Journée de Oued Ed-Dahab
1995-08-20,Commémoration de la révolution du Roi et du peuple
1995-11-06,Marche verte
1995-11-18,Fête de l'indépendance
1996-01-01,Nouvel an - Premier janvier
1996-01-11,Commémoration de la présentation du manifeste de l'indépendance
1996-02-19,Eid al-Fitr* (*estimated)
1996-02-20,Eid al-Fitr* (*estimated)
1996-03-03,Fête du Trône
1996-04-27,Eid al-Adha* (*estimated)
1996-04-28,Eid al-Adha* (*estimated)
1996-05-01,Fête du Travail
1996-05-18,1er Moharram* (*estimated)
1996-07-09,Fête du Trône
1996-07-27,Aid al Mawlid Annabawi* (*estimated)
1996-07-28,Aid al Mawlid Annabawi* (*estimated)
1996-08-14,Journée de Oued Ed-Dahab
1996-08-20,Commémoration de la révolution du Roi et du peuple
1996-11-06,Marche verte
1996-11-18,Fête de l'indépendance
1997-01-01,Nouvel an - Premier janvier
1997-01-11,Commémoration de la présentation du manifeste de l'indépendance
1997-02-08,Eid al-Fitr* (*estimated)
1997-02-09,Eid al-Fitr* (*estimated)
1997-03-03,Fête du Trône
1997-04-17,Eid al-Adha* (*estimated)
1997-04-18,Eid al-Adha* (*estimated)
1997-05-01,Fête du Travail
1997-05-07,1er Moharram* (*estimated)
1997-07-09,Fête du Trône
1997-07-16,Aid al Mawlid Annabawi* (*estimated)
1997-07-17,Aid al Mawlid Annabawi* (*estimated)
1997-08-14,Journée de Oued Ed-Dahab
1997-08-20,Commémoration de la révolution du Roi et du peuple
1997-11-06,Marche verte
1997-11-18,Fête de l'indépendance
1998-01-01,Nouvel an - Premier janvier
1998-01-11,Commémoration de la présentation du manifeste de l'indépendance
1998-01-29,Eid al-Fitr* (*estimated)
1998-01-30,Eid al-Fitr* (*estimated)
1998-03-03,Fête du Trône
1998-04-07,Eid al-Adha* (*estimated)
1998-04-08,Eid al-Adha* (*estimated)
1998-04-27,1er Moharram* (*estimated)
1998-05-01,Fête du Travail
1998-07-06,Aid al Mawlid Annabawi* (*estimated)
1998-07-07,Aid al Mawlid Annabawi* (*estimated)
1998-07-09,Fête du Trône
1998-08-14,Journée de Oued Ed-Dahab
1998-08-20,Commémoration de la révolution du Roi et du peuple
1998-11-06,Marche verte
1998-11-18,Fête de l'indépendance
1999-01-01,Nouvel an - Premier janvier
1999-01-11,Commémoration de la présentation du manifeste de l'indépendance
1999-01-18,Eid al-Fitr* (*estimated)
1999-01-19,Eid al-Fitr* (*estimated)
1999-03-03,Fête du Trône
1999-03-27,Eid al-Adha* (*estimated)
1999-03-28,Eid al-Adha* (*estimated)
1999-04-17,1er Moharram* (*estimated)
1999-05-01,Fête du Travail
1999-06-26,Aid al Mawlid Annabawi* (*estimated)
1999-06-27,Aid al Mawlid Annabawi* (*estimated)
1999-07-09,Fête du Trône
1999-08-14,Journée de Oued Ed-Dahab
1999-08-20,Commémoration de la révolution du Roi et du peuple
1999-11-06,Marche verte
1999-11-18,Fête de l'indépendance
2000-01-01,Nouvel an - Premier janvier
2000-01-08,Eid al-Fitr* (*estimated)
2000-01-09,Eid al-Fitr* (*estimated)
2000-01-11,Commémoration de la présentation du manifeste de l'indépendance
2000-03-03,Fête du Trône
2000-03-16,Eid al-Adha* (*estimated)
2000-03-17,Eid al-Adha* (*estimated)
2000-04-06,1er Moharram* (*estimated)
2000-05-01,Fête du Travail
2000-06-14,Aid al Mawlid Annabawi* (*estimated)
2000-06-15,Aid al Mawlid Annabawi* (*estimated)
2000-07-09,Fête du Trône
2000-08-14,Journée de Oued Ed-Dahab
2000-08-20,Commémoration de la révolution du Roi et du peuple
2000-11-06,Marche verte
2000-11-18,Fête de l'indépendance
2000-12-27,Eid al-Fitr* (*estimated)
2000-12-28,Eid al-Fitr* (*estimated)
2001-01-01,Nouvel an - Premier janvier
2001-01-11,Commémoration de la présentation du manifeste de l'indépendance
2001-03-05,Eid al-Adha* (*estimated)
2001-03-06,Eid al-Adha* (*estimated)
2001-03-26,1er Moharram* (*estimated)
2001-05-01,Fête du Travail
2001-06-04,Aid al Mawlid Annabawi* (*estimated)
2001-06-05,Aid al Mawlid Annabawi* (*estimated)
2001-07-30,Fête du Trône
2001-08-14,Journée de Oued Ed-Dahab
2001-08-20,Commémoration de la révolution du Roi et du peuple
2001-08-21,Fête de la jeunesse
2001-11-06,Marche verte
2001-11-18,Fête de l'indépendance
2001-12-16,Eid al-Fitr* (*estimated)
2001-12-17,Eid al-Fitr* (*estimated)
2002-01-01,Nouvel an - Premier janvier
2002-01-11,Commémoration de la présentation du manifeste de l'indépendance
2002-02-22,Eid al-Adha* (*estimated)
2002-02-23,Eid al-Adha* (*estimated)
2002-03-15,1er Moharram* (*estimated)
2002-05-01,Fête du Travail
2002-05-24,Aid al Mawlid Annabawi* (*estimated)
2002-05-25,Aid al Mawlid Annabawi* (*estimated)
2002-07-30,Fête du Trône
2002-08-14,Journée de Oued Ed-Dahab
2002-08-20,Commémoration de la révolution du Roi et du peuple
2002-08-21,Fête de la jeunesse
2002-11-06,Marche verte
2002-11-18,Fête de l'indépendance
2002-12-05,Eid al-Fitr* (*estimated)
2002-12-06,Eid al-Fitr* (*estimated)
2003-01-01,Nouvel an - Premier janvier
2003-01-11,Commémoration de la présentation du manifeste de l'indépendance
2003-02-11,Eid al-Adha* (*estimated)
2003-02-12,Eid al-Adha* (*estimated)
2003-03-04,1er Moharram* (*estimated)
2003-05-01,Fête du Travail
2003-05-13,Aid al Mawlid Annabawi* (*estimated)
2003-05-14,Aid al Mawlid Annabawi* (*estimated)
2003-07-30,Fête du Trône
2003-08-14,Journée de Oued Ed-Dahab
2003-08-20,Commémoration de la révolution du Roi et du peuple
2003-08-21,Fête de la jeunesse
2003-11-06,Marche verte
2003-11-18,Fête de l'indépendance
2003-11-25,Eid al-Fitr* (*estimated)
2003-11-26,Eid al-Fitr* (*estimated)
2004-01-01,Nouvel an - Premier janvier
2004-01-11,Commémoration de la présentation du manifeste de l'indépendance
2004-02-01,Eid al-Adha* (*estimated)
2004-02-02,Eid al-Adha* (*estimated)
2004-02-21,1er Moharram* (*estimated)
2004-05-01,Aid al Mawlid Annabawi* (*estimated); Fête du Travail
2004-05-02,Aid al Mawlid Annabawi* (*estimated)
2004-07-30,Fête du Trône
2004-08-14,Journée de Oued Ed-Dahab
2004-08-20,Commémoration de la révolution du Roi et du peuple
2004-08-21,Fête de la jeunesse
2004-11-06,Marche verte
2004-11-14,Eid al-Fitr* (*estimated)
2004-11-15,Eid al-Fitr* (*estimated)
2004-11-18,Fête de l'indépendance
2005-01-01,Nouvel an - Premier janvier
2005-01-11,Commémoration de la présentation du manifeste de l'indépendance
2005-01-21,Eid al-Adha* (*estimated)
2005-01-22,Eid al-Adha* (*estimated)
2005-02-10,1er Moharram* (*estimated)
2005-04-21,Aid al Mawlid Annabawi* (*estimated)
2005-04-22,Aid al Mawlid Annabawi* (*estimated)
2005-05-01,Fête du Travail
2005-07-30,Fête du Trône
2005-08-14,Journée de Oued Ed-Dahab
2005-08-20,Commémoration de la révolution du Roi et du peuple
2005-08-21,Fête de la jeunesse
2005-11-03,Eid al-Fitr* (*estimated)
2005-11-04,Eid al-Fitr* (*estimated)
2005-11-06,Marche verte
2005-11-18,Fête de l'indépendance
2006-01-01,Nouvel an - Premier janvier
2006-01-10,Eid al-Adha* (*estimated)
2006-01-11,Commémoration de la présentation du manifeste de l'indépendance; Eid al-Adha* (*estimated)
2006-01-31,1er Moharram* (*estimated)
2006-04-10,Aid al Mawlid Annabawi* (*estimated)
2006-04-11,Aid al Mawlid Annabawi* (*estimated)
2006-05-01,Fête du Travail
2006-07-30,Fête du Trône
2006-08-14,Journée de Oued Ed-Dahab
2006-08-20,Commémoration de la révolution du Roi et du peuple
2006-08-21,Fête de la jeunesse
2006-10-23,Eid al-Fitr* (*estimated)
2006-10-24,Eid al-Fitr* (*estimated)
2006-11-06,Marche verte
2006-11-18,Fête de l'indépendance
2006-12-31,Eid al-Adha* (*estimated)
2007-01-01,Eid al-Adha* (*estimated); Nouvel an - Premier janvier
2007-01-11,Commémoration de la présentation du manifeste de l'indépendance
2007-01-20,1er Moharram* (*estimated)
2007-03-31,Aid al Mawlid Annabawi* (*estimated)
2007-04-01,Aid al Mawlid Annabawi* (*estimated)
2007-05-01,Fête du Travail
2007-07-30,Fête du Trône
2007-08-14,Journée de Oued Ed-Dahab
2007-08-20,Commémoration de la révolution du Roi et du peuple
2007-08-21,Fête de la jeunesse
2007-10-13,Eid al-Fitr* (*estimated)
2007-10-14,Eid al-Fitr* (*estimated)
2007-11-06,Marche verte
2007-11-18,Fête de l'indépendance
2007-12-20,Eid al-Adha* (*estimated)
2007-12-21,Eid al-Adha* (*estimated)
2008-01-01,Nouvel an - Premier janvier
2008-01-10,1er Moharram* (*estimated)
2008-01-11,Commémoration de la présentation du manifeste de l'indépendance
2008-03-20,Aid al Mawlid Annabawi* (*estimated)
2008-03-21,Aid al Mawlid Annabawi* (*estimated)
2008-05-01,Fête du Travail
2008-07-30,Fête du Trône
2008-08-14,Journée de Oued Ed-Dahab
2008-08-20,Commémoration de la révolution du Roi et du peuple
2008-08-21,Fête de la jeunesse
2008-10-01,Eid al-Fitr* (*estimated)
2008-10-02,Eid al-Fitr* (*estimated)
2008-11-06,Marche verte
2008-11-18,Fête de l'indépendance
2008-12-08,Eid al-Adha* (*estimated)
2008-12-09,Eid al-Adha* (*estimated)
2008-12-29,1er Moharram* (*estimated)
2009-01-01,Nouvel an - Premier janvier
2009-01-11,Commémoration de la présentation du manifeste de l'indépendance
2009-03-09,Aid al Mawlid Annabawi* (*estimated)
2009-03-10,Aid al Mawlid Annabawi* (*estimated)
2009-05-01,Fête du Travail
2009-07-30,Fête du Trône
2009-08-14,Journée de Oued Ed-Dahab
2009-08-20,Commémoration de la révolution du Roi et du peuple
2009-08-21,Fête de la jeunesse
2009-09-20,Eid al-Fitr* (*estimated)
2009-09-21,Eid al-Fitr* (*estimated)
2009-11-06,Marche verte
2009-11-18,Fête de l'indépendance
2009-11-27,Eid al-Adha* (*estimated)
2009-11-28,Eid al-Adha* (*estimated)
2009-12-18,1er Moharram* (*estimated)
2010-01-01,Nouvel an - Premier janvier
2010-01-11,Commémoration de la présentation du manifeste de l'indépendance
2010-02-26,Aid al Mawlid Annabawi* (*estimated)
2010-02-27,Aid al Mawlid Annabawi* (*estimated)
2010-05-01,Fête du Travail
2010-07-30,Fête du Trône
2010-08-14,Journée de Oued Ed-Dahab
2010-08-20,Commémoration de la révolution du Roi et du peuple
2010-08-21,Fête de la jeunesse
2010-09-10,Eid al-Fitr* (*estimated)
2010-09-11,Eid al-Fitr* (*estimated)
2010-11-06,Marche verte
2010-11-16,Eid al-Adha* (*estimated)
2010-11-17,Eid al-Adha* (*estimated)
2010-11-18,Fête de l'indépendance
2010-12-07,1er Moharram* (*estimated)
2011-01-01,Nouvel an - Premier janvier
2011-01-11,Commémoration de la présentation du manifeste de l'indépendance
2011-02-15,Aid al Mawlid Annabawi* (*estimated)
2011-02-16,Aid al Mawlid Annabawi* (*estimated)
2011-05-01,Fête du Travail
2011-07-30,Fête du Trône
2011-08-14,Journée de Oued Ed-Dahab
2011-08-20,Commémoration de la révolution du Roi et du peuple
2011-08-21,Fête de la jeunesse
2011-08-30,Eid al-Fitr* (*estimated)
2011-08-31,Eid al-Fitr* (*estimated)
2011-11-06,Eid al-Adha* (*estimated); Marche verte
2011-11-07,Eid al-Adha* (*estimated)
2011-11-18,Fête de l'indépendance
2011-11-26,1er Moharram* (*estimated)
2012-01-01,Nouvel an - Premier janvier
2012-01-11,Commémoration de la présentation du manifeste de l'indépendance
2012-02-04,Aid al Mawlid Annabawi* (*estimated)
2012-02-05,Aid al Mawlid Annabawi* (*estimated)
2012-05-01,Fête du Travail
2012-07-30,Fête du Trône
2012-08-14,Journée de Oued Ed-Dahab
2012-08-19,Eid al-Fitr* (*estimated)
2012-08-20,Commémoration de la révolution du Roi et du peuple; Eid al-Fitr* (*estimated)
2012-08-21,Fête de la jeunesse
2012-10-26,Eid al-Adha* (*estimated)
2012-10-27,Eid al-Adha* (*estimated)
2012-11-06,Marche verte
2012-11-15,1er Moharram* (*estimated)
2012-11-18,Fête de l'indépendance
2013-01-01,Nouvel an - Premier janvier
2013-01-11,Commémoration de la présentation du manifeste de l'indépendance
2013-01-24,Aid al Mawlid Annabawi* (*estimated)
2013-01-25,Aid al Mawlid Annabawi* (*estimated)
2013-05-01,Fête du Travail
2013-07-30,Fête du Trône
2013-08-08,Eid al-Fitr* (*estimated)
2013-08-09,Eid al-Fitr* (*estimated)
2013-08-14,Journée de Oued Ed-Dahab
2013-08-20,Commémoration de la révolution du Roi et du peuple
2013-08-21,Fête de la jeunesse
2013-10-15,Eid al-Adha* (*estimated)
2013-10-16,Eid al-Adha* (*estimated)
2013-11-04,1er Moharram* (*estimated)
2013-11-06,Marche verte
2013-11-18,Fête de l'indépendance
2014-01-01,Nouvel an - Premier janvier
2014-01-11,Commémoration de la présentation du manifeste de l'indépendance
2014-01-13,Aid al Mawlid Annabawi* (*estimated)
2014-01-14,Aid al Mawlid Annabawi* (*estimated)
2014-05-01,Fête du Travail
2014-07-28,Eid al-Fitr* (*estimated)
2014-07-29,Eid al-Fitr* (*estimated)
2014-07-30,Fête du Trône
2014-08-14,Journée de Oued Ed-Dahab
2014-08-20,Commémoration de la révolution du Roi et du peuple
2014-08-21,Fête de la jeunesse
2014-10-04,Eid al-Adha* (*estimated)
2014-10-05,Eid al-Adha* (*estimated)
2014-10-25,1er Moharram* (*estimated)
2014-11-06,Marche verte
2014-11-18,Fête de l'indépendance
2015-01-01,Nouvel an - Premier janvier
2015-01-03,Aid al Mawlid Annabawi* (*estimated)
2015-01-04,Aid al Mawlid Annabawi* (*estimated)
2015-01-11,Commémoration de la présentation du manifeste de l'indépendance
2015-05-01,Fête du Travail
2015-07-17,Eid al-Fitr* (*estimated)
2015-07-18,Eid al-Fitr* (*estimated)
2015-07-30,Fête du Trône
2015-08-14,Journée de Oued Ed-Dahab
2015-08-20,Commémoration de la révolution du Roi et du peuple
2015-08-21,Fête de la jeunesse
2015-09-23,Eid al-Adha* (*estimated)
2015-09-24,Eid al-Adha* (*estimated)
2015-10-14,1er Moharram* (*estimated)
2015-11-06,Marche verte
2015-11-18,Fête de l'indépendance
2015-12-23,Aid al Mawlid Annabawi* (*estimated)
2015-12-24,Aid al Mawlid Annabawi* (*estimated)
2016-01-01,Nouvel an - Premier janvier
2016-01-11,Commémoration de la présentation du manifeste de l'indépendance
2016-05-01,Fête du Travail
2016-07-06,Eid al-Fitr* (*estimated)
2016-07-07,Eid al-Fitr* (*estimated)
2016-07-30,Fête du Trône
2016-08-14,Journée de Oued Ed-Dahab
2016-08-20,Commémoration de la révolution du Roi et du peuple
2016-08-21,Fête de la jeunesse
2016-09-11,Eid al-Adha* (*estimated)
2016-09-12,Eid al-Adha* (*estimated)
2016-10-02,1er Moharram* (*estimated)
2016-11-06,Marche verte
2016-11-18,Fête de l'indépendance
2016-12-11,Aid al Mawlid Annabawi* (*estimated)
2016-12-12,Aid al Mawlid Annabawi* (*estimated)
2017-01-01,Nouvel an - Premier janvier
2017-01-11,Commémoration de la présentation du manifeste de l'indépendance
2017-05-01,Fête du Travail
2017-06-25,Eid al-Fitr* (*estimated)
2017-06-26,Eid al-Fitr* (*estimated)
2017-07-30,Fête du Trône
2017-08-14,Journée de Oued Ed-Dahab
2017-08-20,Commémoration de la révolution du Roi et du peuple
2017-08-21,Fête de la jeunesse
2017-09-01,Eid al-Adha* (*estimated)
2017-09-02,Eid al-Adha* (*estimated)
2017-09-21,1er Moharram* (*estimated)
2017-11-06,Marche verte
2017-11-18,Fête de l'indépendance
2017-11-30,Aid al Mawlid Annabawi* (*estimated)
2017-12-01,Aid al Mawlid Annabawi* (*estimated)
2018-01-01,Nouvel an - Premier janvier
2018-01-11,Commémoration de la présentation du manifeste de l'indépendance
2018-05-01,Fête du Travail
2018-06-15,Eid al-Fitr* (*estimated)
2018-06-16,Eid al-Fitr* (*estimated)
2018-07-30,Fête du Trône
2018-08-14,Journée de Oued Ed-Dahab
2018-08-20,Commémoration de la révolution du Roi et du peuple
2018-08-21,Eid al-Adha* (*estimated); Fête de la jeunesse
2018-08-22,Eid al-Adha* (*estimated)
2018-09-11,1er Moharram* (*estimated)
2018-11-06,Marche verte
2018-11-18,Fête de l'indépendance
2018-11-20,Aid al Mawlid Annabawi* (*estimated)
2018-11-21,Aid al Mawlid Annabawi* (*estimated)
2019-01-01,Nouvel an - Premier janvier
2019-01-11,Commémoration de la présentation du manifeste de l'indépendance
2019-05-01,Fête du Travail
2019-06-04,Eid al-Fitr* (*estimated)
2019-06-05,Eid al-Fitr* (*estimated)
2019-07-30,Fête du Trône
2019-08-11,Eid al-Adha* (*estimated)
2019-08-12,Eid al-Adha* (*estimated)
2019-08-14,Journée de Oued Ed-Dahab
2019-08-20,Commémoration de la révolution du Roi et du peuple
2019-08-21,Fête de la jeunesse
2019-08-31,1er Moharram* (*estimated)
2019-11-06,Marche verte
2019-11-09,Aid al Mawlid Annabawi* (*estimated)
2019-11-10,Aid al Mawlid Annabawi* (*estimated)
2019-11-18,Fête de l'indépendance
2020-01-01,Nouvel an - Premier janvier
2020-01-11,Commémoration de la présentation du manifeste de l'indépendance
2020-05-01,Fête du Travail
2020-05-24,Eid al-Fitr* (*estimated)
2020-05-25,Eid al-Fitr* (*estimated)
2020-07-30,Fête du Trône
2020-07-31,Eid al-Adha* (*estimated)
2020-08-01,Eid al-Adha* (*estimated)
2020-08-14,Journée de Oued Ed-Dahab
2020-08-20,1er Moharram* (*estimated); Commémoration de la révolution du Roi et du peuple
2020-08-21,Fête de la jeunesse
2020-10-29,Aid al Mawlid Annabawi* (*estimated)
2020-10-30,Aid al Mawlid Annabawi* (*estimated)
2020-11-06,Marche verte
2020-11-18,Fête de l'indépendance
2021-01-01,Nouvel an - Premier janvier
2021-01-11,Commémoration de la présentation du manifeste de l'indépendance
2021-05-01,Fête du Travail
2021-05-13,Eid al-Fitr* (*estimated)
2021-05-14,Eid al-Fitr* (*estimated)
2021-07-20,Eid al-Adha* (*estimated)
2021-07-21,Eid al-Adha* (*estimated)
2021-07-30,Fête du Trône
2021-08-09,1er Moharram* (*estimated)
2021-08-14,Journée de Oued Ed-Dahab
2021-08-20,Commémoration de la révolution du Roi et du peuple
2021-08-21,Fête de la jeunesse
2021-10-18,Aid al Mawlid Annabawi* (*estimated)
2021-10-19,Aid al Mawlid Annabawi* (*estimated)
2021-11-06,Marche verte
2021-11-18,Fête de l'indépendance
2022-01-01,Nouvel an - Premier janvier
2022-01-11,Commémoration de la présentation du manifeste de l'indépendance
2022-05-01,Fête du Travail
2022-05-02,Eid al-Fitr* (*estimated)
2022-05-03,Eid al-Fitr* (*estimated)
2022-07-09,Eid al-Adha* (*estimated)
2022-07-10,Eid al-Adha* (*estimated)
2022-07-30,1er Moharram* (*estimated); Fête du Trône
2022-08-14,Journée de Oued Ed-Dahab
2022-08-20,Commémoration de la révolution du Roi et du peuple
2022-08-21,Fête de la jeunesse
2022-10-08,Aid al Mawlid Annabawi* (*estimated)
2022-10-09,Aid al Mawlid Annabawi* (*estimated)
2022-11-06,Marche verte
2022-11-18,Fête de l'indépendance
2023-01-01,Nouvel an - Premier janvier
2023-01-11,Commémoration de la présentation du manifeste de l'indépendance
2023-04-21,Eid al-Fitr* (*estimated)
2023-04-22,Eid al-Fitr* (*estimated)
2023-05-01,Fête du Travail
2023-06-28,Eid al-Adha* (*estimated)
2023-06-29,Eid al-Adha* (*estimated)
2023-07-19,1er Moharram* (*estimated)
2023-07-30,Fête du Trône
2023-08-14,Journée de Oued Ed-Dahab
2023-08-20,Commémoration de la révolution du Roi et du peuple
2023-08-21,Fête de la jeunesse
2023-09-27,Aid al Mawlid Annabawi* (*estimated)
2023-09-28,Aid al Mawlid Annabawi* (*estimated)
2023-11-06,Marche verte
2023-11-18,Fête de l'indépendance
2024-01-01,Nouvel an - Premier janvier
2024-01-11,Commémoration de la présentation du manifeste de l'indépendance
2024-04-10,Eid al-Fitr* (*estimated)
2024-04-11,Eid al-Fitr* (*estimated)
2024-05-01,Fête du Travail
2024-06-16,Eid al-Adha* (*estimated)
2024-06-17,Eid al-Adha* (*estimated)
2024-07-07,1er Moharram* (*estimated)
2024-07-30,Fête du Trône
2024-08-14,Journée de Oued Ed-Dahab
2024-08-20,Commémoration de la révolution du Roi et du peuple
2024-08-21,Fête de la jeunesse
2024-09-15,Aid al Mawlid Annabawi* (*estimated)
2024-09-16,Aid al Mawlid Annabawi* (*estimated)
2024-11-06,Marche verte
2024-11-18,Fête de l'indépendance
2025-01-01,Nouvel an - Premier janvier
2025-01-11,Commémoration de la présentation du manifeste de l'indépendance
2025-03-30,Eid al-Fitr* (*estimated)
2025-03-31,Eid al-Fitr* (*estimated)
2025-05-01,Fête du Travail
2025-06-06,Eid al-Adha* (*estimated)
2025-06-07,Eid al-Adha* (*estimated)
2025-06-26,1er Moharram* (*estimated)
2025-07-30,Fête du Trône
2025-08-14,Journée de Oued Ed-Dahab
2025-08-20,Commémoration de la révolution du Roi et du peuple
2025-08-21,Fête de la jeunesse
2025-09-04,Aid al Mawlid Annabawi* (*estimated)
2025-09-05,Aid al Mawlid Annabawi* (*estimated)
2025-11-06,Marche verte
2025-11-18,Fête de l'indépendance
2026-01-01,Nouvel an - Premier janvier
2026-01-11,Commémoration de la présentation du manifeste de l'indépendance
2026-03-20,Eid al-Fitr* (*estimated)
2026-03-21,Eid al-Fitr* (*estimated)
2026-05-01,Fête du Travail
2026-05-27,Eid al-Adha* (*estimated)
2026-05-28,Eid al-Adha* (*estimated)
2026-06-16,1er Moharram* (*estimated)
2026-07-30,Fête du Trône
2026-08-14,Journée de Oued Ed-Dahab
2026-08-20,Commémoration de la révolution du Roi et du peuple
2026-08-21,Fête de la jeunesse
2026-08-25,Aid al Mawlid Annabawi* (*estimated)
2026-08-26,Aid al Mawlid Annabawi* (*estimated)
2026-11-06,Marche verte
2026-11-18,Fête de l'indépendance
2027-01-01,Nouvel an - Premier janvier
2027-01-11,Commémoration de la présentation du manifeste de l'indépendance
2027-03-09,Eid al-Fitr* (*estimated)
2027-03-10,Eid al-Fitr* (*estimated)
2027-05-01,Fête du Travail
2027-05-16,Eid al-Adha* (*estimated)
2027-05-17,Eid al-Adha* (*estimated)
2027-06-06,1er Moharram* (*estimated)
2027-07-30,Fête du Trône
2027-08-14,Aid al Mawlid Annabawi* (*estimated); Journée de Oued Ed-Dahab
2027-08-15,Aid al Mawlid Annabawi* (*estimated)
2027-08-20,Commémoration de la révolution du Roi et du peuple
2027-08-21,Fête de la jeunesse
2027-11-06,Marche verte
2027-11-18,Fête de l'indépendance
2028-01-01,Nouvel an - Premier janvier
2028-01-11,Commémoration de la présentation du manifeste de l'indépendance
2028-02-26,Eid al-Fitr* (*estimated)
2028-02-27,Eid al-Fitr* (*estimated)
