sub_grp,median,mean,sd,min,max
1,75252.67497762553,75177.00353472863,12195.913501143365,48947.98363984218,100426.79259966323
2,128148.2223617409,130562.80204288755,19536.905615468313,102810.46824389455,161044.83608051346
3,36982.045448432844,35852.339408502376,9810.11480086642,11808.971174500688,54369.989555099775
4,250235.5773465149,250854.20527878,36025.6508487554,166330.75214584128,305944.86007513554
